outcome,month,estimate,ci_low,ci_high,p_value
nps,2025-01,0.6176503552694924,0.3418543489013497,0.8934463616376351,1.1367622287122332e-05
nps,2025-02,0.3047939211032273,0.018132551363987115,0.5914552908424675,0.03716562109983028
nps,2025-03,0.6813438717239245,0.411026785561437,0.951660957886412,7.805879825111829e-07
nps,2025-04,0.525817993281294,0.22356106619912802,0.8280749203634599,0.000650510328604306
nps,2025-05,0.37885383223945074,0.1142350980553073,0.6434725664235942,0.005014910539814813
nps,2025-06,0.3413265972534967,0.03753085829989028,0.645122336207103,0.027658421971873754
nps,2025-07,0.6014870903079838,0.3390103668417766,0.863963813774191,7.075009250103621e-06
nps,2025-08,0.5096475685570986,0.2902314745251897,0.7290636625890075,5.3013182114516605e-06
nps,2025-09,0.6109454570311911,0.3856609335862389,0.8362299804761433,1.065433769090511e-07
nps,2025-10,0.29830409525243173,0.07611516487580028,0.5204930256290632,0.008503689289793405
nps,2025-11,0.47779876072868904,0.2650466301431136,0.6905508913142645,1.0741225958017397e-05
nps,2025-12,0.5338743711402246,0.3080098080498458,0.7597389342306035,3.6083644048665483e-06
nps,2026-01,0.6838244902989525,0.43998497862517266,0.9276640019727325,3.873355908120476e-08
nps,2026-02,0.5904706768456949,0.3603899340488615,0.8205514196425283,4.905340488734435e-07
nps,2026-03,0.709231380204359,0.4952798005244527,0.9231829598842654,8.187501858156415e-11
nps,2026-04,0.5627619844812086,0.3366503826873132,0.7888735862751041,1.0711690174477308e-06
nps,2026-05,0.6655106322298057,0.45443226785169377,0.8765889966079176,6.426998356684075e-10
nps,2026-06,0.48373682122513095,0.1779853634742639,0.789488278975998,0.001929290616017955
revisit_intent,2023-09,0.0680406615238956,-0.1542632528062442,0.2903445758540354,0.5485814934006601
revisit_intent,2023-10,0.09134163370822787,-0.0014171053922356486,0.1841003728086914,0.0536042385301958
revisit_intent,2023-11,0.10952213542987248,0.02816674662945115,0.1908775242302938,0.008326389682961257
revisit_intent,2023-12,0.14274036732669484,0.06259043039007384,0.22289030426331585,0.0004820585412561263
revisit_intent,2024-01,0.04819271996468257,-0.040771561199967575,0.1371570011293327,0.288358535258346
revisit_intent,2024-02,0.0,0.0,0.0,
revisit_intent,2024-03,0.0033159701887190774,-0.07077963429858136,0.07741157467601953,0.9301044180724776
revisit_intent,2024-04,0.06561808777317828,-0.012359734940507905,0.14359591048686446,0.09908549177010845
revisit_intent,2024-05,0.026021915565554866,-0.0698206849234399,0.12186451605454965,0.5946266080605291
revisit_intent,2024-06,0.03843972061800475,-0.047428630487210764,0.12430807172322025,0.3802720896266384
revisit_intent,2024-07,0.051005860698567086,-0.027856100968342866,0.12986782236547703,0.20492168000647537
revisit_intent,2024-08,0.018361426657585268,-0.05299184171070272,0.08971469502587325,0.6140084162790129
revisit_intent,2024-09,0.14550171497972159,0.06988312451656882,0.22112030544287437,0.00016241882392788978
revisit_intent,2024-10,0.1473532878970582,0.06777018570920376,0.22693639008491265,0.00028452041767690274
revisit_intent,2024-11,0.0935519834009702,0.016210406789743295,0.17089356001219713,0.017751428283469
revisit_intent,2024-12,0.053388409570935665,-0.03181949240517468,0.13859631154704602,0.219429097935128
revisit_intent,2025-01,0.11447582514676702,0.02625313464189999,0.20269851565163405,0.010984038384222768
revisit_intent,2025-02,0.0616408196715595,-0.030481743368533334,0.15376338271165235,0.18970705404806332
revisit_intent,2025-03,0.07175455662989594,-0.013293715123278121,0.15680282838307,0.09820755871504408
revisit_intent,2025-04,-0.03226883520333674,-0.1247314252531517,0.06019375484647823,0.4939659924492025
revisit_intent,2025-05,0.08290640583750421,-0.0028554101532234505,0.16866822182823188,0.058131142620936466
revisit_intent,2025-06,0.20843259559276064,0.10055663365557768,0.3163085575299436,0.00015251058029380448
revisit_intent,2025-07,0.056264410444557905,-0.02710163078508933,0.13963045167420512,0.1859034185067313
revisit_intent,2025-08,0.09598599502690955,0.02335826134175316,0.16861372871206592,0.0095886667545581
revisit_intent,2025-09,0.14671861334391056,0.07278134568531132,0.22065588100250982,0.00010053947827489916
revisit_intent,2025-10,0.05427066531667742,-0.018526059140773647,0.1270673897741285,0.14396819241306072
revisit_intent,2025-11,0.0865021427263376,0.016755970020438563,0.15624831543223666,0.015064283616825125
revisit_intent,2025-12,0.06939280427555942,-0.004463155585889736,0.1432487641370086,0.06554505555281376
revisit_intent,2026-01,0.007170216792317959,-0.07219213749057345,0.08653257107520936,0.8594467293415935
revisit_intent,2026-02,0.0389943120402953,-0.036712503235469,0.1147011273160596,0.3127259287160319
revisit_intent,2026-03,0.08480438455865486,0.01496612382543211,0.1546426452918776,0.017313661346022743
revisit_intent,2026-04,0.07898816258598493,0.005080153457516057,0.1528961717144538,0.03619905675234403
revisit_intent,2026-05,0.09336636579688523,0.024600433393049542,0.16213229820072092,0.00778801312815597
revisit_intent,2026-06,0.046303966847728084,-0.054594168535464144,0.1472021022309203,0.36840626513444197
